date	open	high	low	close	volume	value
1993-09-15	19100	19100	19060	19070	121	19700
1993-09-17	18950	18950	18920	18930	172	19225
1993-09-20	18700	18760	18650	18730	396	1000
1993-09-22	18660	18670	18560	18560	460	1000
1993-09-24	18500	18610	18500	18600	304	1000
1993-09-27	18600	18600	18590	18590	138	1000
1993-09-29	18350	18370	18290	18360	312	1000
1993-10-04	17900	17900	17850	17860	416	1000
1993-10-06	17820	17900	17820	17890	202	1000
1993-10-08	17950	17970	17950	17950	202	1000
1993-10-11	17750	17780	17750	17770	148	1000
1993-10-12	17800	17800	17800	17800	116	1000
1993-10-13	17550	17560	17540	17540	478	1000
1993-10-14	17350	17400	17350	17400	478	1000
1993-11-15	18150	18180	18080	18080	2000	148350
1993-11-16	17900	17900	17800	17800	3274	154600
1993-11-17	17650	17650	17600	17610	1214	145825
1993-11-18	17600	17700	17600	17700	3504	152475
1993-11-19	17880	17880	17860	17870	944	158350
1993-11-22	17950	17950	17870	17890	1818	160500
1993-11-23	17880	17880	17800	17800	1638	163850
1993-11-24	17700	17740	17700	17730	346	165525
1993-11-25	17790	17790	17790	17790	1040	165250
1993-11-29	17990	17990	17960	17970	418	167200
1993-11-30	18220	18260	18220	18260	258	167200
1993-12-01	18320	18350	18310	18350	1092	167200
1993-12-02	18450	18480	18430	18440	2202	167200
1993-12-03	18470	18500	18440	18500	666	157100
1993-12-06	18400	18430	18400	18430	666	157100
1993-12-07	18600	18600	18540	18590	2280	149900
1993-12-08	18720	18760	18720	18730	2578	144100
1993-12-09	18700	18700	18560	18590	2578	144100
1993-12-10	18550	18600	18550	18600	2578	144100
1993-12-13	19000	19000	18900	18920	6486	117725
1993-12-14	19150	19160	19100	19160	2650	110600
1993-12-15	19450	19450	19380	19420	918	0
1993-12-16	19600	19750	19600	19750	636	0
1993-12-20	20000	20380	20000	20320	1644	0
1993-12-21	20700	20820	20500	20500	1776	0
1993-12-22	20200	20200	19980	20050	1276	0
1993-12-23	20000	20280	20000	20170	1618	0
1993-12-24	20250	20250	20140	20200	788	0
1993-12-27	20400	20400	20360	20390	384	0
1993-12-28	20400	20550	20400	20550	784	0
1993-12-29	20500	20600	20330	20520	494	0
1993-12-30	20850	20950	20800	20900	1186	0
1994-01-03	20130	20330	20110	20320	1730	0
1994-01-04	20100	20300	19900	20020	1730	0
1994-01-05	19900	20240	19900	20180	1730	0
1994-01-06	20350	20350	20250	20270	978	0
1994-01-07	19950	19990	19920	19940	564	0
1994-01-10	19690	19880	19680	19860	922	0
1994-01-11	20200	20300	20200	20290	1300	0
1994-01-12	20380	20380	20200	20200	632	0
1994-01-13	20150	20200	20150	20160	632	0
1994-01-14	20300	20320	20240	20280	632	0
1994-01-17	20630	20650	20590	20650	284	0
1994-01-18	20750	20750	20490	20490	1304	0
1994-01-19	20580	20580	20520	20560	560	0
1994-01-20	20650	20650	20400	20400	224	0
1994-01-21	20390	20390	20360	20360	210	0
1994-01-24	20350	20400	20350	20400	210	0
1994-01-25	20500	20590	20500	20580	210	0
1994-01-26	20590	20590	20500	20520	502	0
1994-01-27	20550	20550	20540	20550	202	0
1994-01-28	20540	20550	20500	20500	30	0
1994-01-31	20420	20430	20380	20430	282	0
1994-02-01	20450	20470	20450	20470	320	0
1994-02-02	20560	20570	20550	20550	256	0
1994-02-03	20640	20640	20560	20570	338	0
1994-02-15	20680	20680	20650	20650	16	0
1994-02-16	20620	20650	20620	20650	56	0
1994-02-17	20690	20690	20690	20690	96	0
1994-02-18	20700	20750	20700	20710	24	0
1994-02-21	20650	20650	20650	20650	8	0
1994-02-22	20650	20680	20650	20680	8	0
1994-02-23	20640	20640	20640	20640	8	0
1994-02-24	20610	20620	20600	20620	8	0
1994-02-25	20600	20610	20600	20610	74	0
1994-02-28	20560	20570	20560	20560	32	0
1994-03-01	20500	20560	20500	20560	38	0
1994-03-02	20500	20500	20440	20440	184	0
1994-03-03	20480	20500	20400	20500	258	0
1994-03-04	20460	20460	20450	20450	36	0
1994-03-07	20400	20400	20360	20360	50	0
1994-03-08	20200	20260	20050	20250	878	0
1994-03-09	20200	20250	20200	20220	102	0
1994-03-10	20180	20220	20180	20220	102	0
1994-03-11	20300	20380	20300	20360	238	0
1994-03-14	20400	20400	20250	20280	424	0
1994-03-15	20380	20450	20380	20450	114	0
1994-03-16	20200	20300	20200	20200	96	0
1994-03-17	20000	20000	19910	19920	164	0
1994-03-18	19950	20070	19930	20040	640	0
1994-03-21	20150	20150	20090	20090	570	0
1994-03-22	19900	19900	19770	19800	252	0
1994-03-23	19770	19780	19650	19650	640	0
1994-03-24	19420	19600	19400	19500	532	0
1994-03-25	19410	19500	19410	19460	912	0
1994-03-28	19620	19720	19610	19720	1120	0
1994-03-29	19740	19760	19560	19650	676	0
1994-03-30	19600	19750	19600	19700	282	0
1994-03-31	19400	19600	19400	19600	282	0
1994-04-01	19700	19700	19700	19700	628	0
1994-04-04	19750	19830	19750	19830	24	0
1994-04-05	19850	19850	19810	19830	542	0
1994-04-06	19820	19820	19780	19780	720	0
1994-04-07	19750	19840	19740	19840	90	0
1994-04-08	19820	19820	19810	19820	100	0
1994-04-11	19750	19800	19750	19800	324	0
1994-04-12	19840	19910	19840	19880	324	0
1994-04-13	19900	19940	19900	19930	744	0
1994-04-14	20020	20170	20000	20160	318	0
1994-04-15	20500	20500	20130	20320	630	29500
1994-04-18	20300	20350	20210	20250	508	29900
1994-04-19	20250	20310	20240	20310	508	29900
1994-04-20	20400	20450	20390	20450	372	30450
1994-04-21	20400	20420	20390	20410	556	30350
1994-04-22	20380	20390	20320	20370	718	35350
1994-04-25	20310	20310	20050	20150	178	35875
1994-04-26	20250	20320	20220	20250	848	40050
1994-04-27	20250	20250	20250	20250	528	40800
1994-04-28	20260	20280	20260	20280	132	40625
1994-04-29	20300	20380	20300	20370	150	0
1994-05-03	20500	20540	20450	20510	764	0
1994-05-04	20600	20700	20600	20640	776	0
1994-05-05	20630	20780	20610	20760	776	0
1994-05-06	20850	20860	20700	20700	796	0
1994-05-09	20900	21200	20750	21100	726	0
1994-05-10	21400	21420	21300	21320	2010	51050
1994-05-11	20950	21220	20950	21070	1436	54900
1994-05-13	21050	21080	20920	21020	2138	63450
1994-05-16	21500	21500	21300	21320	538	28825
1994-05-17	21210	21330	21200	21300	540	31175
1994-05-18	21350	21380	21290	21290	308	30350
1994-05-19	21300	21300	21240	21250	362	32350
1994-05-20	21300	21390	21290	21370	172	31875
1994-05-23	21400	21550	21400	21520	288	33725
1994-05-24	21800	21800	21680	21800	1022	40050
1994-05-25	21800	21960	21800	21900	920	41225
1994-05-26	21820	21970	21810	21970	1638	43925
1994-05-27	21900	21900	21700	21700	968	47525
1994-05-30	21700	21800	21580	21800	1234	50750
1994-05-31	21800	21800	21740	21750	1120	52300
1994-06-01	21750	21750	21600	21600	520	51625
1994-06-02	21425	21550	21220	21260	818	55425
1994-06-03	21300	21380	21290	21330	2658	63600
1994-06-06	21480	21480	21380	21400	1200	63450
1994-06-07	21250	21290	21210	21240	1406	72650
1994-06-08	21500	21500	21300	21360	1258	72200
1994-06-09	21600	21600	21410	21580	1388	77500
1994-06-10	21600	21740	21580	21580	2382	87550
1994-06-13	21500	21580	21460	21550	1548	91700
1994-06-14	21650	21710	21620	21650	506	91300
1994-06-15	21580	21580	21480	21520	236	41400
1994-06-16	21480	21500	21470	21490	254	41850
1994-06-17	21580	21600	21560	21590	254	41850
1994-06-20	21800	21890	21700	21890	338	39000
1994-06-21	21900	22280	21900	22260	1292	41850
1994-06-22	22300	22300	21780	21910	1872	47775
1994-06-23	22050	22080	21920	21930	1936	54600
1994-06-24	21950	21950	21900	21930	1282	52850
1994-06-27	21900	21960	21850	21950	770	54750
1994-06-28	21850	21920	21850	21880	250	56150
1994-06-29	21620	21730	21620	21690	532	55500
1994-06-30	21750	21800	21750	21780	1084	54425
1994-07-01	21800	21800	21710	21710	236	53750
1994-07-04	21800	21830	21800	21820	360	53250
1994-07-05	21820	21840	21820	21830	266	52725
1994-07-06	21840	21870	21840	21860	72	52675
1994-07-07	21820	21820	21800	21810	132	52225
1994-07-08	21790	21800	21770	21790	124	52025
1994-07-11	21830	21830	21800	21800	104	51300
1994-07-12	21830	21840	21830	21840	72	50500
1994-07-13	21880	21880	21850	21860	52	50225
1994-07-14	21830	21890	21830	21890	164	50775
1994-07-15	21900	22150	21900	22150	18	27650
1994-07-18	22160	22350	22160	22300	824	30825
1994-07-19	22260	22290	22200	22270	838	32475
1994-10-05	24400	24600	24400	24580	115	0
1994-10-06	24710	24715	24550	24550	190	0
1994-10-07	24650	24650	24380	24380	267	0
1994-10-10	24150	24200	24000	24200	319	0
1994-10-11	24300	24300	24260	24270	248	0
1994-10-12	24270	24380	24250	24360	103	0
1994-10-13	24450	24700	24450	24700	432	0
1994-10-14	24600	24700	24550	24600	441	0
1994-10-17	24600	24640	24600	24630	60	0
1994-10-18	24650	24680	24600	24650	188	0
1994-10-19	25000	25360	24750	25360	868	0
1994-10-20	25900	26000	25780	25780	1634	0
1994-10-21	25700	25795	25660	25745	400	0
1994-10-24	25700	25900	25650	25900	275	0
1994-10-25	26200	26300	26200	26255	35	0
1994-10-26	27000	27300	26850	27300	1280	0
1994-10-28	28390	28390	27800	27850	1739	0
1994-10-31	27700	28150	27700	28100	572	0
1994-11-01	28100	28600	28100	28500	868	0
1994-11-02	29060	29060	29000	29060	799	0
1994-11-03	29480	29480	28480	28480	447	0
1994-11-04	28190	28300	28190	28190	625	0
1994-11-07	27630	27710	27630	27630	622	0
1994-11-08	27080	27080	27080	27080	112	0
1994-11-09	26540	27600	26540	27550	1488	0
1994-11-10	27050	27225	27000	27000	776	0
1994-11-11	26800	27000	26700	26870	36250	0
1994-11-14	27250	27280	27100	27250	237	0
1994-11-15	27800	27800	27800	27800	631	0
1994-11-16	28350	28350	28100	28350	1987	0
1994-11-17	28910	28910	28910	28910	72	0
1994-11-18	29440	29440	28700	28850	1686	0
1994-11-21	28580	28820	28500	28820	601	0
1994-11-22	28790	29370	28725	29370	1236	0
1994-11-23	28770	29000	28770	28770	28850	0
1994-11-24	28630	28760	28450	28475	1570	0
1994-11-25	29030	29030	28650	28750	1280	0
1994-11-28	28600	28650	28500	28600	321	0
1994-11-29	28150	28200	28030	28030	726	0
1994-11-30	28590	28590	28590	28590	114	0
1994-12-01	28800	28920	28650	28660	1011	0
1994-12-02	28790	28800	28110	28180	1017	0
1994-12-05	28300	28350	27810	28025	564	0
1994-12-06	27700	27800	27550	27660	1001	0
1994-12-07	27650	28100	27645	28070	846	0
1994-12-08	27800	28000	27750	27910	632	0
1994-12-09	28200	28250	27860	27880	889	0
1994-12-12	27700	27800	27670	27800	522	0
1994-12-13	27750	27800	27520	27550	767	0
1994-12-14	27170	27350	26990	26990	1880	0
1994-12-15	27230	27250	26860	27080	1079	0
1994-12-16	27610	27610	27530	27610	969	0
1994-12-19	27610	27670	27500	27660	803	0
1994-12-20	27200	27200	27200	27200	8	0
1994-12-21	26850	26900	26610	26765	1422	0
1994-12-22	27000	27100	26760	26875	960	0
1994-12-23	26800	26850	26780	26810	511	0
1994-12-26	26700	26730	26320	26400	913	0
1994-12-27	26320	26500	26000	26320	1146	0
1994-12-28	26400	26830	26400	26830	774	0
1994-12-29	27350	27360	27250	27360	868	0
1994-12-30	27500	27625	27300	27560	1046	0
1995-01-03	27590	27600	27100	27310	489	0
1995-01-05	26690	27170	26650	27155	666	0
1995-01-06	27320	27320	26880	26900	547	0
1995-01-09	27050	27100	26850	27050	409	0
1995-01-10	27250	27325	27150	27270	607	0
1995-01-11	27450	27450	27005	27220	447	0
1995-01-12	26930	27180	26900	27130	490	0
1995-01-13	27270	27300	27200	27230	539	0
1995-01-16	27480	27490	27380	27470	137	0
1995-01-17	27400	27560	27400	27550	129	0
1995-01-18	27800	28100	27800	28100	525	0
1995-01-19	28000	28110	28000	28090	328	0
1995-01-20	28450	28465	28220	28280	454	0
1995-01-23	28250	28420	28250	28380	227	0
1995-01-24	28300	28400	28300	28320	202	0
1995-01-25	28400	28400	28340	28345	76	0
1995-01-26	28200	28300	28115	28280	245	0
1995-01-27	28300	28450	28300	28450	122	0
1995-02-06	28000	28000	27890	27890	128	0
1995-02-07	28000	28000	27685	27800	262	0
